date,Total Sleep Duration,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
1/13/2021,25500,94,69,95,95,100,100,716,2768,9892,13824,36360,28200,15000,6780,60,0,1.65625,1,81,76,None,None,None,100,74,None,99
1/14/2021,22740,91,47,100,95,100,99,488,2670,10903,9223,46680,13200,23160,3360,0,0,1.625,0,81,71,None,90,None,92,93,None,69
1/15/2021,23760,95,77,95,95,100,100,1474,3568,14215,27529,30720,21840,15420,8400,5520,4500,2.125,1,80,75,85,86,88,76,57,None,96
1/16/2021,23190,97,77,100,100,100,100,372,2403,8606,7090,31500,35040,17700,2100,60,0,1.40625,0,64,60,84,11,58,98,81,None,51
1/17/2021,24060,93,70,78,100,100,100,438,2435,5786,8355,35460,36540,9960,4380,60,0,1.4375,2,78,74,85,97,72,100,83,None,50
1/18/2021,25320,95,67,100,100,100,100,721,2827,11235,14303,36780,22320,19200,6120,300,1680,1.6875,0,81,83,87,91,74,96,100,None,28
1/19/2021,19920,94,58,100,100,100,100,451,2536,10150,8831,41820,23700,17280,3540,60,0,1.53125,0,74,63,79,80,71,96,86,None,56
1/20/2021,22650,97,77,100,100,100,100,1202,3330,13297,22714,31680,22560,21420,7140,3600,0,2,0,78,77,80,85,77,91,64,76,90
1/21/2021,26250,97,83,100,100,100,100,514,2566,12681,10123,29220,28500,15840,4920,60,7860,1.53125,0,73,68,84,31,66,93,100,83,46
1/22/2021,29730,96,74,95,100,100,100,1006,3070,9679,18606,32460,31380,12540,5520,3660,840,1.8125,1,66,95,91,96,75,56,69,73,1
1/23/2021,33510,97,84,95,100,100,100,492,2460,7032,9775,28440,40140,12540,4500,0,780,1.4375,1,75,96,100,36,70,96,78,74,26
1/24/2021,33900,98,90,95,100,100,100,482,2506,9967,9549,26280,36840,18600,3240,240,1200,1.46875,1,83,96,100,100,78,90,79,82,12
1/25/2021,23220,95,68,100,100,100,100,695,2767,11716,13957,36660,25500,17340,6780,120,0,1.65625,0,81,62,100,98,79,100,87,80,42
1/26/2021,22650,94,63,100,100,100,100,455,2531,10617,9032,38820,26040,18060,3480,0,0,1.5,0,84,59,100,82,77,88,76,84,100
1/27/2021,21570,96,72,100,100,100,100,1252,3355,14014,23768,31740,23520,20460,7020,3660,0,2,0,84,63,100,89,82,90,76,75,95
